#ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	unassigned
ASV_2	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	unassigned	unassigned
ASV_3	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	Akashiwo sanguinea
ASV_4	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Cochlodinium	unassigned
ASV_5	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_6	Eukaryota	unknown	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Ensiculifera	Ensiculifera imariensis
ASV_7	Eukaryota	unknown	Dinophyceae	unknown	unknown	unknown	Dinophyceae sp. CCMP1878
ASV_8	Eukaryota	unknown	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Ensiculifera	Ensiculifera imariensis
ASV_9	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_10	Eukaryota	Chlorophyta	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_11	Eukaryota	unknown	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	unassigned
ASV_12	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia fraudulenta
ASV_13	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium rubrum
ASV_14	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_15	Eukaryota	unknown	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum triestinum
ASV_16	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	unassigned	unassigned	unassigned
ASV_17	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	unassigned	unassigned
ASV_18	Eukaryota	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium crassipes
ASV_19	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_20	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia australis
ASV_21	Eukaryota	unknown	Dinophyceae	Peridiniales	unassigned	unassigned	unassigned
ASV_22	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_23	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_24	Eukaryota	unknown	unknown	unknown	unknown	unknown	phototrophic eukaryote
ASV_25	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	unassigned
ASV_26	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_27	Eukaryota	unknown	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	unassigned
ASV_28	Eukaryota	unknown	Dinophyceae	unknown	unknown	Spiniferites	Spiniferites ramosus
ASV_29	Eukaryota	unknown	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	unassigned
ASV_30	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_31	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Warnowiaceae	Proterythropsis	Proterythropsis sp. BSL-2009a
ASV_32	Eukaryota	unknown	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	unassigned
ASV_33	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	unassigned
ASV_34	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_35	Eukaryota	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium crassipes
ASV_36	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_37	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_38	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_39	Eukaryota	Cercozoa	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	unassigned
ASV_40	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	unassigned
ASV_41	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Temoridae	Temora	unassigned
ASV_42	Eukaryota	unknown	Dinophyceae	unknown	unknown	unknown	Dinophyceae sp. UDMS0803
ASV_43	Eukaryota	Ciliophora	Spirotrichea	unassigned	unassigned	unassigned	unassigned
ASV_44	Eukaryota	Arthropoda	Hexanauplia	Calanoida	unassigned	unassigned	unassigned
ASV_45	Eukaryota	Arthropoda	Hexanauplia	Harpacticoida	Euterpinidae	Euterpina	Euterpina acutifrons
ASV_46	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_47	Eukaryota	unknown	unknown	unknown	unknown	unknown	eukaryote clone OLI11055
ASV_48	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_49	Eukaryota	unknown	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	unassigned
ASV_50	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_51	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_52	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Polykrikos	Polykrikos kofoidii
ASV_53	Eukaryota	Ciliophora	Prostomatea	Prorodontida	Plagiocampidae	Plagiocampa	unassigned
ASV_54	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_55	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Lepidodinium	Lepidodinium viride
ASV_56	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_57	Eukaryota	Arthropoda	Malacostraca	Decapoda	unassigned	unassigned	unassigned
ASV_58	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	Rhizosolenia setigera
ASV_59	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	unassigned
ASV_60	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium rubrum
ASV_61	Eukaryota	unknown	Raphidophyceae	Chattonellales	Chattonellaceae	Fibrocapsa	Fibrocapsa japonica
ASV_62	Eukaryota	unknown	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	unassigned
ASV_63	Eukaryota	unknown	Haptophyta	Prymnesiales	unassigned	unassigned	unassigned
ASV_64	Eukaryota	unknown	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Adenoides	Adenoides eludens
ASV_65	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_66	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_67	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Corycaeidae	Corycaeus	Corycaeus speciosus
ASV_68	Eukaryota	Cryptophyta	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_69	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Minidiscus	unassigned
ASV_70	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus
ASV_71	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Strombidinopsidae	Strombidinopsis	unassigned
ASV_72	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_73	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	unassigned	unassigned
ASV_74	Eukaryota	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium conicum
ASV_75	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	unassigned	unassigned
ASV_76	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	unassigned	unassigned	unassigned
ASV_77	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	unassigned
ASV_78	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_79	Eukaryota	unknown	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	unassigned
ASV_80	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_81	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_82	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia	Guinardia flaccida
ASV_83	Eukaryota	unknown	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	Tripos tenuis
