OTU,Hit_number,eval,bitscore,%ID,genus,species,hit_def,align_len
ASV_1,1,1.08476e-56,254,100.0,Not_Found,species_unassigned,"Uncultured eukaryote clone ST8900.128 18S ribosomal RNA gene, partial sequence",127
ASV_1,21,4.61251e-55,249,99.21,Paracalanus,species_unassigned,"Paracalanus sp. Roadstead of Brest isolate OP_Brest_3 18S ribosomal RNA gene, partial sequence",127
ASV_2,1,1.08476e-56,254,100.0,genus_unassigned,species_unassigned,"Calanus glacialis voucher WS121 small subunit ribosomal RNA gene, partial sequence",127
ASV_3,1,3.74457e-56,252,100.0,Akashiwo,Akashiwo sanguinea,"Akashiwo sanguinea 18S ribosomal RNA gene, partial sequence",126
ASV_3,2,3.74457e-56,252,100.0,Not_Found,Not_Found,"Uncultured marine plankton clone BW-dinoclone15 small subunit ribosomal RNA gene, partial sequence",126
ASV_3,13,8.24796e-52,237,97.62,Akashiwo,Not_Found,"Akashiwo sp. AP-LIS1 small subunit ribosomal RNA gene, partial sequence >gi|42517340|gb|AY456108.1| Akashiwo sp. AP-LIS2 small subunit ribosomal RNA gene, partial sequence",126
ASV_4,1,6.31898e-53,240,100.0,Not_Found,species_unassigned,"Uncultured eukaryote clone SGYI974 18S ribosomal RNA gene, partial sequence",120
ASV_4,2,6.31898e-53,240,100.0,Cochlodinium,species_unassigned,"Cochlodinium fulvescens 18S ribosomal RNA gene, partial sequence",120
ASV_5,1,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Parvodinium cf. umbonatum strain GeoM*795 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126
ASV_6,1,3.74457e-56,252,100.0,Ensiculifera,Ensiculifera imariensis,"Ensiculifera imariensis strain GeoB 284 small subunit ribosomal RNA gene, partial sequence",126
ASV_6,2,3.74457e-56,252,100.0,Not_Found,Not_Found,"Uncultured eukaryote clone WS073.101 18S ribosomal RNA gene, partial sequence",126
ASV_7,1,3.74457e-56,252,100.0,Not_Found,Not_Found,"Uncultured eukaryote clone WS073.007 18S ribosomal RNA gene, partial sequence",126
ASV_7,48,3.74457e-56,252,100.0,Not_Found,Dinophyceae sp. CCMP1878,"Dinophyceae sp. CCMP1878 18S small subunit ribosomal RNA gene, complete sequence",126
ASV_8,1,3.74457e-56,252,100.0,Not_Found,Not_Found,"Uncultured eukaryote clone SGYI958 18S ribosomal RNA gene, partial sequence",126
ASV_8,22,8.24796e-52,237,97.62,Ensiculifera,Ensiculifera imariensis,"Ensiculifera imariensis strain GeoB 284 small subunit ribosomal RNA gene, partial sequence",126
ASV_9,1,9.09993e-58,258,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote partial 18S rRNA gene, clone UnEu-Kongs_537",129
ASV_10,1,9.09993e-58,258,100.0,genus_unassigned,species_unassigned,"Ostreococcus sp. OII clone G1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",129
ASV_11,1,3.74457e-56,252,100.0,Not_Found,species_unassigned,"Uncultured eukaryote clone WS074.017 18S ribosomal RNA gene, partial sequence",126
ASV_11,3,3.74457e-56,252,100.0,Alexandrium,species_unassigned,"Alexandrium pseudogoniaulax strain OF2AUG09 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",126
ASV_12,1,1.08476e-56,254,100.0,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,"Pseudo-nitzschia fraudulenta strain UNC1413 18S ribosomal RNA gene, partial sequence",127
ASV_12,3,2.38934e-52,239,97.64,Pseudo-nitzschia,Not_Found,"Pseudo-nitzschia australis isolate 10249 10AB 18S ribosomal RNA gene, partial sequence",127
ASV_12,16,1.50784e-48,224,95.28,Not_Found,Not_Found,"Uncultured eukaryote clone SGYW508 18S ribosomal RNA gene, partial sequence",127
ASV_13,1,3.14203e-57,256,100.0,Not_Found,Not_Found,"Uncultured eukaryote clone SGYI971 18S ribosomal RNA gene, partial sequence",128
ASV_13,14,6.92079e-53,240,100.0,Gyrodinium,Gyrodinium rubrum,"Gyrodinium rubrum gene for 18S rRNA, partial sequence",120
ASV_14,1,2.20913e-59,264,100.0,Not_Found,Not_Found,"Uncultured eukaryote clone SGUH860 18S ribosomal RNA gene, partial sequence",132
ASV_14,8,1.69838e-54,247,99.21,Not_Found,uncultured marine eukaryote,"uncultured marine eukaryote partial 18S rRNA gene, isolate AB535_M15_META_H_46_S",126
ASV_15,1,3.74457e-56,252,100.0,Prorocentrum,Prorocentrum triestinum,"Prorocentrum triestinum 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence",126
ASV_15,3,3.74457e-56,252,100.0,Prorocentrum,Not_Found,"Prorocentrum gracile small subunit ribosomal RNA gene, partial sequence",126
ASV_15,6,1.59223e-54,247,99.21,Not_Found,Not_Found,"Parvodinium cf. umbonatum strain GeoM*795 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126
ASV_16,1,1.08476e-56,254,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST6000.058 18S ribosomal RNA gene, partial sequence",127
ASV_17,1,2.63521e-58,260,100.0,genus_unassigned,species_unassigned,"Thysanopoda pectinata voucher E78 small subunit ribosomal RNA gene, partial sequence",130
ASV_18,1,8.24796e-52,237,97.62,Protoperidinium,Protoperidinium crassipes,Protoperidinium crassipes gene for 18S rRNA,126
ASV_18,2,5.20503e-48,223,95.24,Protoperidinium,Not_Found,"Protoperidinium divergens gene for 18S rRNA, partial sequence, isolate: #5 >gi|61287149|dbj|AB181893.1| Protoperidinium divergens gene for 18S rRNA, partial sequence, isolate: #12",126
ASV_18,7,3.28473e-44,209,94.26,Not_Found,Not_Found,"Uncultured rhizarian clone AA3F14RJ3A08 18S ribosomal RNA gene, partial sequence",122
ASV_19,1,3.07916e-19,116,80.77,genus_unassigned,species_unassigned,"Acartia omorii 18S ribosomal RNA gene, partial sequence",130
ASV_20,1,1.08476e-56,254,100.0,Pseudo-nitzschia,Pseudo-nitzschia australis,"Pseudo-nitzschia australis isolate 10249 10AB 18S ribosomal RNA gene, partial sequence",127
ASV_20,4,4.61251e-55,249,99.21,Pseudo-nitzschia,Not_Found,"Pseudo-nitzschia americana strain UNC1412 18S ribosomal RNA gene, partial sequence",127
ASV_20,10,2.38934e-52,239,97.64,Not_Found,Not_Found,"Uncultured eukaryote clone SGYI779 18S ribosomal RNA gene, partial sequence",127
ASV_21,1,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Parvodinium trawinskii strain GeoM*753 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126
ASV_22,1,1.93973e-53,242,98.41,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGUH573 18S ribosomal RNA gene, partial sequence",126
ASV_23,1,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone 10D10P17 small subunit ribosomal RNA gene, partial sequence",126
ASV_24,1,1.29246e-55,250,100.0,Not_Found,phototrophic eukaryote,"Uncultured phototrophic eukaryote clone HE000803.72 18S ribosomal RNA gene, partial sequence",125
ASV_24,2,1.29246e-55,250,100.0,Not_Found,Not_Found,"Uncultured rhodophyte clone He000803-72 18S ribosomal RNA gene, complete sequence",125
ASV_25,1,1.08476e-56,254,100.0,Thalassiosira,species_unassigned,"Thalassiosira sp. strain UNC1404 18S ribosomal RNA gene, partial sequence",127
ASV_25,2,1.08476e-56,254,100.0,Not_Found,species_unassigned,"Uncultured marine eukaryote clone WC-13-MC1244-OTU-2 18S ribosomal RNA gene, partial sequence",127
ASV_26,1,9.09993e-58,258,100.0,genus_unassigned,species_unassigned,"Micromonas sp. HM4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",129
ASV_27,1,3.74457e-56,252,100.0,Alexandrium,species_unassigned,"Alexandrium tamarense clone NWFSC\419-4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126
ASV_28,1,1.08476e-56,254,100.0,Spiniferites,Spiniferites ramosus,"Spiniferites ramosus gene for 18S ribosomal RNA, partial sequence, isolate: KC51",127
ASV_28,2,2.09592e-40,194,90.55,Not_Found,Not_Found,"Gonyaulax spinifera 18S ribosomal RNA gene, complete sequence",127
ASV_29,1,3.74457e-56,252,100.0,Alexandrium,species_unassigned,"Alexandrium fundyense strain CCMP 1719 subclone 1719_4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126
ASV_30,1,1.29246e-55,250,100.0,genus_unassigned,species_unassigned,"Uncultured stramenopile clone 897st19-43 18S ribosomal RNA gene, partial sequence",125
ASV_31,1,3.74457e-56,252,100.0,Not_Found,Not_Found,"Uncultured eukaryote clone SGYO766 18S ribosomal RNA gene, partial sequence",126
ASV_31,11,1.93973e-53,242,98.41,Proterythropsis,Proterythropsis sp. BSL-2009a,"Proterythropsis sp. BSL-2009a isolate UBC2 18S ribosomal RNA gene, partial sequence",126
ASV_32,1,7.63031e-59,262,100.0,Not_Found,species_unassigned,"Uncultured eukaryote clone WS074.033 18S ribosomal RNA gene, partial sequence",131
ASV_32,12,7.63031e-59,262,100.0,Phaeocystis,species_unassigned,"Phaeocystis antarctica strain MM-E1B6 18S ribosomal RNA gene, partial sequence >gi|359719452|gb|JN381494.1| Phaeocystis antarctica strain MM-E4B4 18S ribosomal RNA gene, partial sequence >gi|359719453|gb|JN381495.1| Phaeocystis antarctica strain MM-E2C1 18S ribosomal RNA gene, partial sequence",131
ASV_33,1,3.78618e-56,252,100.0,Not_Found,species_unassigned,"Uncultured eukaryote clone ST8900.128 18S ribosomal RNA gene, partial sequence",126
ASV_33,21,1.60992e-54,247,99.21,Paracalanus,species_unassigned,"Paracalanus sp. Roadstead of Brest isolate OP_Brest_3 18S ribosomal RNA gene, partial sequence",126
ASV_34,1,9.09993e-58,258,100.0,genus_unassigned,species_unassigned,"Bathycoccus prasinos ribosomal RNA EukSSU (n/a) (rRNA_EukSSU), rRNA",129
ASV_35,1,5.20503e-48,222,95.24,Protoperidinium,Protoperidinium crassipes,Protoperidinium crassipes gene for 18S rRNA,126
ASV_35,2,3.28473e-44,208,92.86,Protoperidinium,Not_Found,"Protoperidinium divergens gene for 18S rRNA, partial sequence, isolate: #5 >gi|61287149|dbj|AB181893.1| Protoperidinium divergens gene for 18S rRNA, partial sequence, isolate: #12",126
ASV_35,7,2.07289e-40,194,91.8,Not_Found,Not_Found,"Uncultured rhizarian clone AA3F14RJ3A08 18S ribosomal RNA gene, partial sequence",122
